time,Y,Ym,Yl,Yu,U,Um,Ul,Uu,Mode,Control
0,1.8909090714333887,0.0,1.58811505886,2.19370308401,0.3539655175150216,0.0,0.174095522732,0.533835512298,r,4
1,1.9406749258018543,0.0,1.63955220643,2.24179764517,0.23399418455358756,0.0,0.0509661403095,0.417022228798,r,4
2,1.7541919903730694,0.0,1.44989286534,2.05849111541,0.12663791813073288,0.0,0.0,0.31137072231,r,4
3,0.06813273872796799,0.0,0.0,0.374826792553,0.0,0.0,0.0,0.188758212937,r,4
4,0.13338298040531527,1.29,0.0,0.45936682314,0.0,0.0,0.0,0.185786763416,r,4
5,1.9361442061424934,1.287,1.61171431785,2.26057409443,0.25714773173814365,1.0,0.0520237294581,0.462271734018,r,4
6,1.9730609165574382,1.913,1.64770027002,2.29842156309,0.4675718063955827,1.0,0.251804225366,0.683339387426,r,4
7,1.811087920468652,1.888,1.44697439285,2.17520144809,0.9916427790965088,2.0,0.731633471349,1.25165208684,r,4
8,7.706572467825125e-06,1.8,0.0,4.18047894874,3.3780882213451306,2.0,3.08725146367,3.66892497902,r,4
9,0.0003007967335037173,1.794,0.0,4.20350671097,3.1844846268166265,2.0,2.89311644058,3.47585281305,r,4
10,0.00553101062933209,2.096,0.0,4.19619668886,3.868520325446706,3.0,3.57606850886,4.16097214204,r,4
11,2.29420929817546,2.845,1.49780479804,3.09061379831,2.1387316464678037,2.0,1.79172510257,2.48573819036,r,4
12,0.9158126369431139,1.862,0.0,4.44586185552,2.4618402644535706,1.0,2.12234581829,2.80133471061,r,4
13,1.9292423340069726,1.884,1.21011311171,2.64837155631,2.108495198640526,1.0,1.75536125151,2.46162914577,r,4
14,2.0304379709889977,1.925,1.48613695929,2.57473898269,1.9161094283722804,1.0,1.55412082597,2.27809803078,r,4
15,1.7808124892314527,1.913,1.40519665258,2.15642832588,1.057681653338161,1.0,0.613019942231,1.50234336445,r,4
16,2.2678243539901684,1.922,1.25317968112,3.28246902686,1.666636250012953,1.0,1.29217142472,2.04110107531,r,4
17,2.169162691690353,1.827,1.39185929568,2.9464660877,1.8165160486179914,2.0,1.44043965704,2.1925924402,r,4
18,2.1567244449804157,1.835,1.72754767875,2.58590121121,1.9379871164993006,2.0,1.56126183283,2.31471240017,r,4
19,1.4427274329819306,2.155,0.0,3.63116673985,2.2986045316056902,3.0,1.90811663485,2.68909242837,r,4
20,1.0111063769885646,2.738,0.0,4.75292950326,2.6126190158790976,3.0,2.2152869177,3.00995111406,r,4
21,1.5349469875003592,2.565,0.0,3.77711715943,2.313443302984517,1.0,1.89449034775,2.73239625822,r,4
22,2.029952980178244,1.915,1.52905631488,2.53084964548,2.06466799254855,1.0,1.63077323554,2.49856274956,r,4
23,2.194530571150942,1.912,1.13261835143,3.25644279087,1.7119770357754653,1.0,1.26564465194,2.15830941961,r,4
24,1.9852768216775045,0.645,1.64644473984,2.32410890352,0.5421844566606708,0.0,0.0617394745251,1.0226294388,r,4
25,0.17786166127185155,0.0,0.0,0.517314282575,0.0,0.0,0.0,0.489030005255,r,4
26,0.23199704045609337,1.284,0.0,0.585706400791,0.0,0.0,0.0,0.490098638279,r,4
27,0.2254632119800064,0.0,0.0,0.578661045011,0.0,0.0,0.0,0.489647776335,r,4
28,0.20739243388036863,1.931,0.0,0.563449130146,0.0,1.0,0.0,0.50163071983,r,4
29,0.17799605441522173,1.929,0.0,0.545889976621,0.0,1.0,0.0,0.509706580722,r,4
30,0.8633285545936893,1.91,0.501815356542,1.22484175265,0.04460794864981921,1.0,0.0,0.560356637763,r,4
31,1.98133664089852,1.904,1.6321796317,2.3304936501,0.4839677857906821,1.0,0.0,1.08808784085,r,4
32,2.146064380343091,1.798,1.55975519427,2.73237356642,1.8846971413836044,2.0,1.26748799963,2.50190628313,r,4
33,1.473036359737435,1.805,0.0,3.599191312,2.296090004824544,2.0,1.67646032187,2.91571968778,r,4
34,0.03912645187927433,2.908,0.0,4.09742813867,3.758230055249715,3.0,3.11935435965,4.39710575085,r,4
35,0.19468271527140596,2.764,0.0,4.26161467797,3.6019642926308943,3.0,2.96589580911,4.23803277615,r,4
36,0.380021469148009,2.324,0.0,4.46424698592,4.497660615857052,4.0,3.85468251083,5.14063872088,r,4
37,1.0183663629071764,2.608,0.0,4.63636554669,2.5076551891692027,3.0,1.84776527058,3.16754510776,r,4
38,2.4797964617887445,2.015,1.8509116815,3.10868124208,1.724735885653351,3.0,1.06413546603,2.38533630528,r,4
39,1.8672429459474662,1.963,1.50589340145,2.22859249044,0.30793391178954543,2.0,0.0,0.975251777505,r,4
40,0.1735379711277829,1.846,0.0,0.553663845172,0.0,1.0,0.0,0.669799121199,r,4
41,0.3177720889006648,1.926,0.0,0.681943430626,0.005168756030816013,1.0,0.0,0.682624512649,r,4
42,1.8919527568817376,1.966,1.27938859042,2.50451692334,1.1837419939011689,1.0,0.492578322918,1.87490566488,r,4
43,2.0449458973247716,1.902,0.997101292987,3.09279050166,1.7125183775088368,1.0,1.01978574132,2.4052510137,r,4
44,2.236391683945646,1.926,1.15343505463,3.31934831326,1.5477027325882533,1.0,0.856475919501,2.23892954568,r,4
45,1.8629005781191044,1.975,1.4839690923,2.24183206394,1.038003312507982,1.0,0.344974947349,1.73103167767,r,4
46,1.9941496023514134,2.054,1.61330512029,2.37499408441,0.6056830620724276,1.0,0.0,1.2996947309,r,4
47,1.9551524262458715,1.977,1.58926173227,2.32104312022,0.47597721384786196,1.0,0.0,1.16912969907,r,4
48,1.9736245997354036,1.758,1.57894662032,2.36830257915,0.6106330320315942,1.0,0.0,1.3037546897,r,4
49,1.9570810395733689,1.856,1.53789009906,2.37627198009,0.8604348163158209,1.0,0.16596668397,1.55490294866,r,4
50,1.844806144838314,1.961,1.46300625986,2.22660602982,1.0412315919646735,1.0,0.345836152593,1.73662703134,r,4
51,1.8349000721659054,1.86,1.4253526435,2.24444750083,1.070437777233106,1.0,0.375084280843,1.76579127362,r,4
52,1.8908135138227173,2.009,1.52346306069,2.25816396695,0.9804253830253429,1.0,0.285298893086,1.67555187296,r,4
53,1.9657152609823179,1.953,1.54644461653,2.38498590543,0.8594398849205765,1.0,0.16429359434,1.5545861755,r,4
54,1.2253113150124193,1.884,0.0,3.81228370417,2.332062342168957,2.0,1.62607254852,3.03805213582,r,4
55,1.090742654848314,1.983,0.0,4.56020277853,2.44722757472882,2.0,1.74145916297,3.15299598649,r,4
56,1.9852692462527024,1.955,1.60080817227,2.36973032023,2.023406014178609,2.0,1.31811248228,2.72869954607,r,4
57,0.08772824082750741,1.936,0.0,4.34910928191,4.675710034132962,4.0,3.92720871027,5.424211358,r,4
58,2.4339162871270688,2.469,1.96571386914,2.90211870512,1.8709375023389754,2.0,1.10249826823,2.63937673645,r,4
59,2.004236304405998,2.075,0.91697681321,3.0914957956,2.1850013085251803,3.0,1.41632543606,2.95367718099,r,4
60,1.3706071795711132,2.137,0.0,4.21208276027,2.3879229346907778,3.0,1.61806257622,3.15778329316,r,4
61,2.1175442894314953,1.968,1.66986051478,2.56522806409,1.187657403097882,2.0,0.414070436028,1.96124437017,r,4
62,2.048486192004358,2.225,1.66428848671,2.4326838973,1.0935664899886541,2.0,0.320363831614,1.86676914836,r,4
63,1.450795649728374,1.948,1.07605844805,1.82553285141,0.10920740103329507,1.0,0.0,0.884826316548,r,4
64,1.903896035169105,1.93,1.54836178094,2.25943028939,0.2818441700847645,1.0,0.0,1.05780724095,r,4
65,2.0086254924455593,1.963,1.60697110211,2.41027988278,0.7936785444282757,1.0,0.0148236616518,1.5725334272,r,4
66,1.9431512797453827,1.886,1.45250208693,2.43380047256,1.1612112942539472,1.0,0.380695419995,1.94172716851,r,4
67,0.5043488106763334,1.925,0.111003097409,0.897694523944,0.0,0.0,0.0,0.786324368954,r,4
68,0.5508528305730493,1.254,0.148127775328,0.953577885818,0.0,0.0,0.0,0.786935943644,r,4
69,0.5608073196651446,0.0,0.16031003574,0.96130460359,0.0,0.0,0.0,0.785793459333,r,4
70,0.5309526587262496,0.0,0.12657848574,0.935326831713,0.0,0.0,0.0,0.785759275415,r,4
71,1.4335173006646613,0.0,1.0282753172,1.83875928413,0.0987494186661868,0.0,0.0,0.884802141954,r,4
72,1.8381966078987801,0.0,1.43323972554,2.24315349026,0.18398705888572273,0.0,0.0,0.969707774376,r,4
73,1.683656231865669,0.0,1.27521762559,2.09209483814,0.14549691882909865,0.0,0.0,0.931030096574,r,4
74,0.9434835844260192,0.0,0.534843144949,1.3521240239,0.04736166044836709,0.0,0.0,0.832837994921,r,4
75,0.3804345006332994,0.0,0.0,0.790293945962,0.0,0.0,0.0,0.785304673174,r,4
76,0.3598993616688233,0.0,0.0,0.770509859008,0.0,0.0,0.0,0.784769062433,r,4
77,0.34156588380662356,0.0,0.0,0.752658112393,0.0,0.0,0.0,0.78456644172,r,4
78,0.40204806521001046,1.915,0.0,0.842667357506,0.0,0.0,0.0,0.784552357779,r,4
79,1.195770668425581,1.514,0.715062219497,1.67647911735,0.018841947266726,0.0,0.0,0.803423924605,g,4
80,1.5603332059003172,1.463,1.09776032224,2.02290608956,0.03848403671504591,0.0,0.0,0.823114066821,g,4
81,2.91265103317723,2.242,2.43764780189,3.38765426447,1.3739444013435378,1.0,0.578663142052,2.16922566063,g,4
82,3.076572066295837,2.221,2.60394853052,3.54919560207,1.5811144771975054,1.0,0.786389270416,2.37583968398,g,5
83,1.5242877035793043,2.277,1.04025700905,2.0083183981,0.0,0.0,0.0,0.805434411272,g,4
84,2.2743871607630792,2.279,1.81792935262,2.73084496891,0.6091862561549544,1.0,0.0,1.41399996759,g,4
85,1.632752824616091,2.239,1.14893168146,2.11657396777,0.0,0.0,0.0,0.81088943571,g,4
86,1.3250312130048911,0.0,0.81974568639,1.83031673962,0.0,0.0,0.0,0.810483393599,g,4
87,1.344866200516682,1.472,0.843868879783,1.84586352125,0.0,0.0,0.0,0.811074627752,g,4
88,1.6490883894459571,2.243,1.15345839239,2.1447183865,0.036737460673980316,0.0,0.0,0.847333793564,g,4
89,2.9973571059151913,2.336,2.5145141312,3.48020008063,1.5543202149939699,1.0,0.729086816114,2.37955361387,g,4
90,3.1839942689346064,2.383,2.70015610746,3.66783243041,1.7760349112273786,1.0,0.951687398028,2.60038242443,g,5
91,2.816123810451682,2.31,2.32871930972,3.30352831119,1.3485693152229272,1.0,0.524948110533,2.17219051991,g,4
92,2.3179518978127858,2.296,1.83376511212,2.80213868351,0.809049042793851,1.0,0.0,1.63450739201,g,4
93,2.301473797908267,2.373,1.81398429115,2.78896330467,0.49941280888512174,1.0,0.0,1.32452273046,g,4
94,2.2634996454830283,2.364,1.78098131228,2.74601797868,0.4882804048461149,1.0,0.0,1.31245783385,g,4
95,2.2944254421218826,2.233,1.81191567363,2.77693521061,0.6700536070928638,1.0,0.0,1.49402111984,g,4
96,2.328868672067567,2.318,1.84751534977,2.81022199436,0.890702846852486,1.0,0.0657989580168,1.71560673569,g,4
97,2.3826326529272954,2.228,1.9010642352,2.86420107066,1.0192438720124941,1.0,0.193892005132,1.84459573889,g,4
98,2.3809662054564544,2.31,1.90015427184,2.86177813908,1.0194190118856508,1.0,0.194660133783,1.84417788999,g,4
99,1.790538254775651,1.817,0.629601070917,2.95147543863,2.2363508489519806,2.0,1.40171537301,3.07098632489,r,4
100,2.04430337673217,1.842,1.60835904709,2.48024770637,1.0755588380638912,1.0,0.237173832746,1.91394384338,r,4
